"Education","Marital_Status","Income","Recency","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Age","Total_Spending","TotalNumPurchases","TotalAcceptedCmp","AcceptedCmp","Children"
"Postgrad","Single",69759,38,3,0,0,0,0,0,1,52,1029,18,1,1,0
"Graduate","Married",72099,18,1,0,0,0,0,0,0,44,1188,18,0,0,0
"Postgrad","Single",60000,57,6,0,0,0,0,0,0,42,1277,24,0,0,1
"Graduate","Single",38643,45,7,0,0,0,0,0,0,40,49,7,0,0,2
"Graduate","Married",50737,61,6,0,1,0,0,0,0,63,99,7,1,1,1
"Postgrad","Married",68462,6,1,0,0,0,0,0,0,49,1670,15,0,0,0
"Postgrad","Married",65073,65,2,0,0,0,0,0,0,75,900,14,0,0,0
"Postgrad","Married",46681,52,5,0,0,0,0,0,0,70,425,16,0,0,2
"Graduate","Married",78618,87,2,0,1,0,0,0,0,61,2153,22,1,1,0
"Postgrad","Single",62187,38,4,0,0,0,0,0,0,49,636,21,0,0,1
"Graduate","Married",28442,53,4,0,0,0,0,0,0,40,57,10,0,0,2
"Postgrad","Married",37717,31,9,0,0,0,0,0,0,40,25,4,0,0,1
"Graduate","Married",51479,67,7,0,0,0,0,0,0,51,494,22,0,0,2
"Graduate","Single",54803,65,4,0,0,0,0,0,0,49,693,19,0,0,1
"Graduate","Married",79530,64,2,0,0,0,0,0,0,58,1348,26,0,0,0
"Graduate","Single",31615,82,7,0,0,0,0,0,0,42,51,7,0,0,1
"Graduate","Married",72025,27,3,0,0,0,0,0,0,56,1932,16,0,0,0
"Postgrad","Single",52614,63,8,0,0,0,0,0,0,43,990,16,0,0,1
"Undergraduate","Married",35684,66,6,0,0,0,0,0,0,34,30,5,0,0,1
"Graduate","Married",48178,69,8,0,0,0,0,0,0,43,254,16,0,0,2
"Postgrad","Single",29548,52,4,1,0,0,0,0,0,48,29,5,1,1,1
"Graduate","Single",63810,45,8,0,1,0,0,0,0,52,1371,23,1,1,1
"Postgrad","Single",38578,2,8,0,0,0,0,0,1,46,73,9,1,1,2
"Postgrad","Single",46098,86,8,0,0,0,0,0,0,43,120,11,0,0,2
"Graduate","Single",22585,23,9,1,0,0,0,0,1,48,81,5,2,1,0
"Graduate","Single",30279,13,8,0,0,0,0,0,0,29,37,5,0,0,1
"Postgrad","Married",66426,14,6,0,0,0,0,0,0,57,1377,20,0,0,1
"Graduate","Single",30822,92,7,0,0,0,0,0,0,49,51,5,0,0,1
"Postgrad","Married",33581,38,8,0,0,0,0,0,0,49,17,4,0,0,2
"Graduate","Married",19986,74,7,0,0,0,0,0,0,33,22,4,0,0,1
"Graduate","Single",27421,14,7,0,0,0,0,0,0,64,324,14,0,0,0
"Undergraduate","Married",35688,94,8,0,0,0,0,0,0,45,211,16,0,0,3
"Postgrad","Single",36143,33,3,0,0,0,0,0,0,37,19,4,0,0,1
"Graduate","Single",10245,32,5,0,0,0,0,0,0,47,41,8,0,0,1
"Postgrad","Married",43795,11,7,0,1,0,0,0,1,50,492,17,2,1,1
"Graduate","Married",63381,78,2,0,0,0,0,0,0,58,1005,26,0,0,1
"Graduate","Married",38823,56,6,0,0,0,0,0,0,69,114,7,0,0,1
"Postgrad","Single",83664,57,5,0,0,0,0,0,0,50,1173,19,0,0,2
"Graduate","Married",90300,7,1,0,0,1,0,0,0,39,1738,19,1,1,0
"Postgrad","Married",62499,0,4,0,0,0,0,0,0,39,222,12,0,0,1
"Graduate","Single",74293,66,2,0,0,0,0,0,0,25,1127,16,0,0,0
"Postgrad","Married",51012,86,6,0,0,0,0,0,0,72,209,10,0,0,0
"Postgrad","Married",70777,80,3,0,0,0,0,0,0,50,787,23,0,0,1
"Postgrad","Married",68682,56,2,0,0,0,0,0,0,27,1598,24,0,0,0
"Graduate","Married",43824,18,8,0,0,0,0,0,0,47,186,12,0,0,2
"Graduate","Married",15345,51,8,0,0,0,0,0,1,34,47,6,1,1,1
"Graduate","Single",23442,71,7,0,0,0,0,0,0,31,27,5,0,0,1
"Undergraduate","Married",14515,71,7,0,0,0,0,0,1,38,96,11,1,1,1
"Undergraduate","Single",31395,80,6,0,0,0,0,0,0,62,64,10,0,0,2
"Graduate","Married",75276,2,5,0,0,0,0,0,0,53,1040,23,0,0,0
"Graduate","Single",42373,83,5,0,0,0,0,0,0,44,163,13,0,0,2
"Graduate","Married",30507,29,7,0,0,0,0,0,0,58,343,11,0,0,0
"Postgrad","Single",55521,11,7,0,1,0,0,0,1,63,446,24,2,1,3
"Graduate","Married",48006,55,6,0,0,0,0,0,0,53,41,5,0,0,2
"Postgrad","Single",27213,19,8,0,0,0,0,0,1,46,70,9,1,1,1
"Postgrad","Single",65808,1,6,0,0,0,0,0,0,47,272,14,0,0,2
"Postgrad","Married",30351,19,9,0,0,0,0,0,0,44,46,6,0,0,1
"Graduate","Married",50437,28,7,0,0,0,0,0,0,55,490,19,0,0,2
"Undergraduate","Single",23616,76,8,0,0,0,0,0,1,36,79,8,1,1,1
"Graduate","Married",53858,50,4,0,0,0,0,0,0,42,915,17,0,0,1
"Postgrad","Married",66465,1,6,0,0,0,1,0,0,63,1485,35,1,1,1
"Graduate","Single",46923,90,7,0,0,0,0,0,0,31,369,16,0,0,1
"Graduate","Married",75072,83,3,0,0,0,0,0,0,56,1073,19,0,0,1
"Postgrad","Married",75865,73,1,0,0,0,0,0,0,75,1242,19,0,0,0
"Undergraduate","Married",19789,24,5,1,0,0,0,0,0,43,78,9,1,1,1
"Graduate","Married",80134,11,5,0,1,1,1,1,0,24,1378,21,4,1,0
"Graduate","Single",91065,33,3,0,0,1,1,0,1,37,1474,26,3,1,0
"Postgrad","Married",49505,4,8,0,0,0,0,0,0,47,751,29,0,0,2
"Postgrad","Married",37401,14,7,0,0,0,0,0,0,45,48,7,0,0,1
"Graduate","Married",30096,30,6,0,0,0,0,0,0,35,45,6,0,0,1
"Postgrad","Married",18492,75,8,0,0,0,0,0,0,36,10,4,0,0,1
"Postgrad","Married",82584,26,1,0,1,1,0,0,1,44,1435,16,3,1,0
"Postgrad","Married",93027,77,2,0,0,1,0,0,0,77,2119,22,1,1,0
"Graduate","Married",48686,8,8,0,0,0,0,0,0,65,20,4,0,0,3
"Graduate","Married",92910,42,1,0,1,1,1,0,0,32,1795,27,3,1,0
"Graduate","Married",75433,28,6,0,1,0,1,0,0,29,1188,19,2,1,1
"Undergraduate","Married",10404,52,5,0,0,0,0,0,0,29,43,7,0,0,1
"Graduate","Married",61314,1,3,0,0,0,0,0,0,50,1008,24,0,0,1
"Postgrad","Single",84865,1,4,0,1,1,1,1,1,57,1688,16,5,1,0
"Graduate","Married",42387,42,8,0,0,0,0,0,0,29,684,21,0,0,1
"Undergraduate","Married",67309,76,7,0,0,0,0,0,0,51,1082,39,0,0,2
"Graduate","Married",75236,27,4,0,0,0,0,0,0,54,1068,25,0,0,1
"Graduate","Single",30015,28,5,0,0,0,0,0,0,48,57,7,0,0,1
"Postgrad","Married",50943,49,5,0,0,0,0,0,0,62,46,5,0,0,1
"Graduate","Single",67272,12,5,0,0,0,0,0,0,52,733,23,0,0,1
"Postgrad","Single",51529,14,8,0,0,0,0,0,0,69,467,17,0,0,1
"Postgrad","Married",32011,89,7,0,0,0,0,0,0,47,122,10,0,0,1
"Undergraduate","Married",7500,96,8,0,0,0,0,0,0,32,36,7,0,0,1
"Graduate","Married",28691,56,8,0,0,0,0,0,0,29,34,5,0,0,1
"Postgrad","Married",56223,72,4,0,0,0,0,0,0,70,156,10,0,0,1
"Graduate","Married",18100,14,5,0,0,0,0,0,0,72,14,4,0,0,0
"Graduate","Single",30279,13,8,0,0,0,0,0,0,29,37,5,0,0,1
"Undergraduate","Married",20130,99,8,0,0,0,0,0,0,44,34,5,0,0,0
"Graduate","Single",23295,72,8,0,0,0,0,0,0,59,20,4,0,0,0
"Postgrad","Single",42618,92,8,0,0,0,0,0,0,46,192,11,0,0,1
"Graduate","Single",81246,87,1,1,0,0,1,0,0,54,1379,17,2,1,0
"Graduate","Married",24027,7,8,0,0,0,0,0,0,42,48,7,0,0,1
"Postgrad","Married",55707,91,3,0,0,0,0,0,0,65,428,16,0,0,1
"Graduate","Single",57959,71,3,0,0,0,0,0,0,63,868,27,0,0,1
"Graduate","Married",56796,24,7,0,0,0,0,0,0,49,1001,27,0,0,1
"Postgrad","Single",36230,17,5,0,0,0,0,0,0,47,59,7,0,0,1
"Undergraduate","Married",70829,87,3,0,0,0,0,0,0,38,431,16,0,0,2
"Graduate","Married",65991,21,7,0,0,0,0,0,0,42,971,27,0,0,1
"Graduate","Married",38988,90,8,0,0,0,0,0,0,46,348,19,0,0,3
"Undergraduate","Single",89572,44,4,0,1,0,1,0,1,52,2059,24,3,1,0
"Postgrad","Married",42207,71,6,1,0,0,0,0,1,34,265,14,2,1,1
"Graduate","Married",50300,52,2,0,0,0,0,0,0,66,270,13,0,0,1
"Undergraduate","Married",66664,78,3,0,0,0,0,0,0,36,1289,19,0,0,0
"Graduate","Married",60597,2,7,0,0,0,1,0,1,54,893,16,2,1,1
"Graduate","Single",70165,60,1,0,0,0,0,0,0,69,926,22,0,0,0
"Postgrad","Single",50520,25,6,0,0,0,0,0,0,60,135,9,0,0,1
"Graduate","Married",80124,47,1,1,0,0,0,0,0,55,1495,19,1,1,0
"Graduate","Married",33183,46,7,0,0,0,0,0,0,43,120,9,0,0,1
"Postgrad","Single",66582,83,1,0,0,0,0,0,0,49,1288,20,0,0,0
"Postgrad","Married",75261,17,2,0,1,1,0,0,1,63,1743,17,3,1,0
"Graduate","Single",31880,13,8,0,0,0,0,0,0,48,15,4,0,0,1
"Graduate","Married",53790,86,6,0,0,0,0,0,0,67,542,20,0,0,2
"Postgrad","Married",49269,92,7,0,0,0,0,0,0,47,890,25,0,0,1
"Graduate","Married",61456,47,4,0,0,0,0,0,0,43,1388,33,0,0,1
"Graduate","Married",37406,18,8,0,0,0,0,0,1,38,17,4,1,1,1
"Postgrad","Married",56937,81,6,0,1,0,0,0,1,37,906,30,2,1,1
"Graduate","Married",38415,91,7,0,0,0,0,0,0,40,44,6,0,0,2
"Graduate","Single",20518,58,5,0,0,0,0,0,0,30,25,5,0,0,1
"Graduate","Married",62503,40,5,0,0,0,0,0,0,62,973,26,0,0,1
"Postgrad","Single",41644,67,3,0,0,0,0,0,0,46,31,6,0,0,2
"Postgrad","Married",55842,19,5,0,0,0,0,0,0,41,518,17,0,0,1
"Postgrad","Married",62010,93,5,0,0,0,0,0,0,46,530,19,0,0,1
"Graduate","Married",41124,41,8,0,0,0,0,0,0,41,506,21,0,0,1
"Postgrad","Married",38961,60,7,0,0,0,0,0,0,45,70,6,0,0,1
"Postgrad","Single",37760,54,6,0,0,0,0,0,0,46,54,6,0,0,1
"Graduate","Single",32233,26,9,1,0,0,0,0,1,44,296,12,2,1,1
"Graduate","Married",43057,30,5,0,0,0,0,0,0,43,266,15,0,0,1
"Postgrad","Married",83151,93,3,0,0,0,0,0,0,58,747,19,0,0,0
"Postgrad","Single",78825,35,3,0,0,0,0,0,1,54,895,29,1,1,0
"Postgrad","Married",65104,4,7,0,0,0,0,0,0,42,1053,17,0,0,1
"Graduate","Married",60093,92,6,0,0,0,0,0,0,44,735,21,0,0,1
"Graduate","Married",14045,24,7,0,0,0,0,0,0,49,20,5,0,0,1
"Undergraduate","Single",28457,96,8,0,0,0,0,0,0,66,205,10,0,0,0
"Postgrad","Married",78952,11,6,0,0,0,0,0,0,60,2092,21,0,0,1
"Graduate","Single",46310,99,8,0,0,0,0,0,0,42,309,14,0,0,1
"Graduate","Married",76005,72,6,0,0,0,1,0,0,63,1722,22,1,1,0
"Postgrad","Single",58308,77,8,0,0,0,0,0,0,54,900,15,0,0,1
"Postgrad","Single",55614,85,7,0,1,0,0,0,0,74,682,20,1,1,0
"Postgrad","Single",59432,88,5,0,0,0,0,0,0,56,663,22,0,0,1
"Graduate","Single",55563,22,3,0,0,0,0,0,0,40,43,6,0,0,1
"Postgrad","Married",78642,83,6,0,0,0,0,0,0,47,1816,18,0,0,1
"Postgrad","Married",67911,63,3,0,0,0,0,0,0,69,976,27,0,0,1
"Graduate","Married",65275,9,2,0,0,0,0,0,0,74,746,21,0,0,0
"Graduate","Married",27203,92,8,0,0,0,0,0,0,68,64,6,0,0,2
"Postgrad","Married",48330,2,5,0,0,0,0,0,0,57,32,5,0,0,1
"Undergraduate","Married",24279,6,8,0,0,0,0,0,0,28,263,9,0,0,0
"Postgrad","Married",64355,66,8,0,0,0,0,0,0,33,1445,21,0,0,1
"Postgrad","Married",50943,49,5,0,0,0,0,0,0,62,46,5,0,0,1
"Graduate","Single",53653,29,6,0,0,0,0,0,0,65,1210,28,0,0,0
"Graduate","Married",65665,77,3,0,0,0,0,0,0,42,945,24,0,0,1
"Graduate","Single",81217,77,1,0,0,0,0,0,0,29,1157,22,0,0,0
"Graduate","Married",34935,71,7,0,0,0,0,0,0,26,137,8,0,0,0
"Graduate","Single",61250,49,5,0,0,0,0,0,0,59,730,25,0,0,1
"Postgrad","Married",39665,97,7,1,0,0,0,0,0,37,216,12,1,1,1
"Graduate","Single",60152,6,3,0,0,0,0,0,0,39,943,23,0,0,1
"Graduate","Married",48920,93,7,0,1,0,0,0,0,54,347,16,1,1,2
"Postgrad","Married",89120,78,1,0,0,1,0,0,0,59,1924,19,1,1,0
"Postgrad","Married",44124,62,8,0,0,0,0,0,0,72,397,17,0,0,1
"Postgrad","Single",81169,47,2,0,0,0,0,0,0,43,2089,22,0,0,0
"Graduate","Married",36443,9,8,0,0,0,0,0,0,57,138,11,0,0,2
"Graduate","Single",26095,77,7,0,0,0,0,0,0,28,42,5,0,0,1
"Graduate","Married",71367,24,2,0,0,0,0,0,0,59,777,17,0,0,0
"Postgrad","Married",80184,19,3,0,0,1,1,0,0,74,1902,20,2,1,0
"Graduate","Single",30630,67,7,0,0,0,0,0,0,53,52,7,0,0,2
"Postgrad","Single",73454,95,5,1,0,0,0,0,0,31,1651,13,1,1,0
"Graduate","Married",42691,48,5,0,0,0,0,0,0,27,358,13,0,0,0
"Graduate","Married",70503,73,6,0,1,1,0,0,0,65,1727,16,2,1,0
"Graduate","Married",25545,35,6,0,0,0,0,0,1,31,210,10,1,1,1
"Graduate","Married",32880,76,8,0,0,0,0,0,0,32,42,5,0,0,1
"Postgrad","Married",77863,20,2,0,0,0,0,0,0,60,1291,20,0,0,0
"Postgrad","Married",50353,72,3,0,0,0,0,0,0,41,442,15,0,0,0
"Graduate","Single",61839,20,8,0,0,0,0,0,0,54,1895,17,0,0,0
"Postgrad","Married",49154,69,6,0,0,0,0,0,0,58,411,19,0,0,2
"Undergraduate","Single",47682,80,5,0,0,0,0,0,0,43,521,19,0,0,1
"Graduate","Single",72679,65,1,0,0,0,0,0,0,49,1168,17,0,0,1
"Postgrad","Married",57954,52,7,0,1,0,0,0,0,41,493,23,1,1,2
"Graduate","Married",65316,65,4,0,0,0,0,0,0,56,260,12,0,0,2
"Graduate","Single",28567,57,6,0,0,0,0,0,0,36,46,7,0,0,1
"Postgrad","Married",47352,70,7,0,0,0,0,0,0,67,319,16,0,0,1
"Graduate","Married",44931,0,5,0,0,0,0,0,0,51,96,7,0,0,1
"Graduate","Single",76982,19,4,0,0,1,0,0,1,51,1062,16,2,1,0
"Undergraduate","Married",57247,50,2,0,0,0,0,0,0,66,232,12,0,0,1
"Postgrad","Single",22944,67,7,0,0,0,0,0,0,37,76,9,0,0,1
"Undergraduate","Married",25315,46,8,0,0,0,0,0,0,41,54,9,0,0,1
"Graduate","Single",43638,37,7,0,0,0,0,0,0,49,201,11,0,0,1
"Postgrad","Single",42710,38,6,0,0,0,0,0,0,34,406,14,0,0,1
"Postgrad","Married",84169,9,3,0,1,1,0,0,1,36,1919,20,3,1,0
"Graduate","Married",54058,56,3,0,0,0,0,0,0,42,662,20,0,0,1
"Undergraduate","Married",24683,98,5,0,0,0,0,0,0,28,41,8,0,0,1
"Graduate","Single",85620,68,1,0,0,0,0,0,1,54,1600,14,1,1,0
"Graduate","Married",47850,72,6,0,0,0,0,0,0,38,134,8,0,0,1
"Graduate","Married",19514,47,8,1,0,0,0,0,1,50,69,10,2,1,2
"Postgrad","Married",27159,33,6,0,0,0,0,0,0,45,21,6,0,0,2
"Undergraduate","Single",39548,87,3,0,0,0,0,0,0,55,54,7,0,0,2
"Graduate","Single",21474,0,7,1,0,0,0,0,1,29,91,8,2,1,1
"Postgrad","Single",60504,73,6,0,0,0,0,0,0,47,526,18,0,0,1
"Graduate","Married",22419,74,8,0,0,0,0,0,0,55,162,8,0,0,0
"Postgrad","Married",81698,4,1,0,0,0,0,0,1,69,1008,25,1,1,0
"Graduate","Married",43462,50,8,0,0,0,0,0,0,66,240,16,0,0,2
"Postgrad","Single",54880,57,5,0,0,0,0,0,0,40,795,21,0,0,1
"Graduate","Married",79908,30,2,0,0,1,0,0,0,36,1772,19,1,1,0
"Undergraduate","Married",15315,27,5,0,0,0,0,0,0,48,64,8,0,0,0
"Graduate","Married",87771,61,6,0,1,1,1,1,1,59,1957,20,5,1,1
"Graduate","Married",33039,4,5,0,0,0,0,0,0,40,78,7,0,0,1
"Graduate","Single",81741,75,2,0,0,0,0,0,0,38,1572,19,0,0,0
"Postgrad","Married",71499,12,4,0,0,0,0,0,0,47,795,26,0,0,1
"Undergraduate","Married",62466,13,4,0,0,0,0,0,0,48,889,26,0,0,1
"Postgrad","Single",48799,9,3,0,0,0,0,0,0,55,331,15,0,0,1
"Postgrad","Married",52157,48,4,0,0,0,0,0,0,68,265,12,0,0,1
"Graduate","Single",66565,80,8,0,0,0,0,0,0,56,1065,19,0,0,1
"Postgrad","Married",29298,60,5,0,0,0,0,0,0,67,11,4,0,0,2
"Graduate","Single",47691,43,6,0,0,0,0,0,0,39,21,4,0,0,1
"Graduate","Married",38200,19,7,0,0,0,0,0,0,48,17,4,0,0,2
"Graduate","Married",44989,26,6,0,0,0,0,0,0,44,369,16,0,0,1
"Postgrad","Married",38443,58,7,0,0,0,0,0,0,50,38,6,0,0,2
"Undergraduate","Single",38593,42,8,0,0,0,0,0,0,40,177,11,0,0,1
"Postgrad","Married",64413,27,5,0,0,0,0,0,0,48,279,12,0,0,1
"Postgrad","Married",36959,56,8,0,0,0,0,0,0,37,62,7,0,0,1
"Postgrad","Married",61996,27,5,0,1,0,1,1,1,41,1230,21,4,1,1
"Graduate","Married",51287,10,7,0,0,0,0,0,0,50,182,11,0,0,2
"Graduate","Married",13260,48,8,0,0,0,0,0,0,48,49,10,0,0,2
"Postgrad","Married",47472,39,5,0,0,0,0,0,0,52,75,8,0,0,2
"Postgrad","Married",54603,85,7,0,0,0,0,0,0,62,227,16,0,0,2
"Postgrad","Married",45207,64,6,0,1,0,0,0,0,44,215,15,1,1,2
"Graduate","Married",40689,69,8,0,0,0,0,0,0,67,444,20,0,0,1
"Undergraduate","Married",47821,54,8,0,0,0,0,0,0,51,47,5,0,0,2
"Postgrad","Married",27450,57,7,0,0,0,0,0,0,67,143,7,0,0,0
"Graduate","Married",39453,64,6,0,0,0,0,0,0,35,55,7,0,0,1
"Undergraduate","Married",26850,10,4,0,0,0,0,0,0,47,63,11,0,0,2
"Graduate","Single",79800,65,3,1,0,1,1,0,1,63,1867,22,4,1,0
"Postgrad","Married",61794,74,2,0,0,0,0,0,0,57,611,20,0,0,1
"Graduate","Married",53863,4,7,0,1,0,0,0,0,63,473,18,1,1,1
"Graduate","Married",24221,94,4,0,0,0,0,0,0,59,55,6,0,0,0
"Postgrad","Single",39684,41,7,0,0,0,0,0,1,34,81,7,1,1,1
"Postgrad","Married",92163,25,2,0,0,1,1,0,1,43,2086,21,3,1,0
"Postgrad","Single",69882,94,1,0,0,0,0,0,0,53,1478,20,0,0,0
"Graduate","Married",33178,9,4,0,0,0,0,0,0,41,49,5,0,0,1
"Postgrad","Married",59973,47,1,0,0,0,0,0,0,46,382,15,0,0,0
"Postgrad","Married",17459,12,7,0,0,0,0,0,1,43,69,9,1,1,1
"Graduate","Single",23910,80,7,0,0,0,0,0,0,49,67,6,0,0,1
"Postgrad","Married",42169,20,8,0,0,0,0,0,0,49,30,6,0,0,2
"Undergraduate","Married",26224,39,6,0,0,0,0,0,0,40,63,9,0,0,1
"Graduate","Married",31089,57,8,0,0,0,0,0,0,37,79,10,0,0,1
"Graduate","Single",30081,27,7,0,0,0,0,0,0,57,42,5,0,0,1
"Graduate","Married",62807,83,5,0,0,0,0,0,0,58,819,23,0,0,1
"Graduate","Single",72906,79,1,0,0,0,0,0,0,63,1151,17,0,0,0
"Postgrad","Married",61467,69,5,0,0,0,0,0,0,70,594,20,0,0,2
"Postgrad","Married",49618,77,7,0,0,0,0,0,0,52,129,11,0,0,2
"Postgrad","Single",21888,15,10,0,0,0,0,0,1,32,213,12,1,1,1
"Graduate","Single",42429,99,5,0,0,0,0,0,0,45,67,7,0,0,1
"Graduate","Single",26150,61,7,0,0,0,0,0,0,62,28,5,0,0,3
"Undergraduate","Married",30801,23,7,0,0,0,0,0,0,43,45,6,0,0,1
"Graduate","Married",81168,84,3,0,0,0,1,0,0,53,1193,18,1,1,0
"Postgrad","Single",26877,74,6,0,0,0,0,0,0,49,268,12,0,0,0
"Postgrad","Single",45006,90,3,0,0,0,0,0,0,74,266,12,0,0,0
"Undergraduate","Married",18978,41,8,0,0,0,0,0,0,45,37,5,0,0,1
"Graduate","Married",22574,28,7,0,0,0,0,0,0,51,37,7,0,0,3
"Postgrad","Single",48240,73,5,0,0,0,0,0,1,49,882,25,1,1,0
"Graduate","Married",45837,88,7,0,0,0,0,0,0,44,373,18,0,0,2
"Postgrad","Single",35791,94,8,0,0,0,0,0,0,53,35,6,0,0,3
"Postgrad","Married",162397,31,1,0,0,0,0,0,0,42,107,1,0,0,2
"Graduate","Single",54162,31,4,0,0,0,0,0,0,40,42,5,0,0,2
"Postgrad","Married",30522,6,2,0,0,0,0,0,0,58,326,17,0,0,1
"Postgrad","Married",54456,23,6,0,0,0,0,0,0,57,404,17,0,0,1
"Graduate","Single",31632,92,7,0,0,0,0,0,0,47,95,6,0,0,0
"Graduate","Single",72298,52,1,0,1,1,0,0,0,69,939,14,2,1,0
"Undergraduate","Single",36975,50,7,0,0,0,0,0,0,40,33,5,0,0,1
"Undergraduate","Married",72635,54,3,0,0,0,1,0,0,63,981,21,1,1,0
"Graduate","Married",13624,93,6,0,0,0,0,0,0,42,36,7,0,0,1
"Graduate","Single",84196,56,3,0,0,0,0,0,0,43,1237,20,0,0,1
"Graduate","Married",70971,28,7,0,0,0,0,0,1,58,1825,34,1,1,1
"Postgrad","Single",34487,94,9,0,0,0,0,0,0,41,103,9,0,0,2
"Graduate","Single",28769,76,9,0,0,0,0,0,0,41,191,12,0,0,1
"Postgrad","Married",69084,43,8,0,0,0,0,0,0,48,1586,25,0,0,1
"Postgrad","Married",65488,46,1,0,0,0,0,0,0,60,963,14,0,0,0
"Undergraduate","Married",62466,13,4,0,0,0,0,0,0,48,889,26,0,0,1
"Undergraduate","Single",32218,27,7,1,0,0,0,0,1,58,93,7,2,1,0
"Graduate","Single",83917,12,3,0,0,0,0,0,1,45,1587,21,1,1,0
"Graduate","Single",46102,3,7,0,0,0,0,0,0,56,16,4,0,0,3
"Graduate","Single",84574,72,5,0,0,0,0,0,0,66,1375,32,0,0,0
"Graduate","Married",56181,6,4,0,0,0,0,0,0,56,393,14,0,0,1
"Postgrad","Single",63120,53,7,0,0,0,0,0,1,68,1477,26,1,1,1
"Graduate","Married",73691,58,2,1,0,0,0,0,0,47,1179,18,1,1,1
"Graduate","Married",63381,78,2,0,0,0,0,0,0,58,1005,26,0,0,1
"Postgrad","Married",76140,57,2,0,0,0,0,0,0,70,1348,21,0,0,0
"Postgrad","Single",62859,37,6,0,0,0,0,0,0,59,1307,23,0,0,1
"Graduate","Single",45906,20,5,1,0,0,0,0,0,54,486,15,1,1,1
"Postgrad","Married",77632,73,2,0,1,1,0,0,1,71,2252,13,3,1,0
"Postgrad","Married",46463,56,6,0,0,0,0,0,0,47,235,17,0,0,2
"Graduate","Married",105471,36,3,0,0,1,1,0,1,48,1724,30,3,1,0
"Postgrad","Single",55282,9,4,0,0,0,0,0,0,48,235,11,0,0,1
"Postgrad","Married",78710,42,4,0,0,0,0,0,0,41,1092,28,0,0,1
"Graduate","Married",66886,28,5,0,0,0,0,0,0,60,599,17,0,0,1
"Postgrad","Single",98777,23,1,0,1,0,0,0,0,58,2008,19,1,1,0
"Graduate","Married",29103,38,9,0,0,0,0,0,0,33,48,6,0,0,1
"Graduate","Married",67445,63,6,0,0,0,0,0,0,44,1174,32,0,0,1
"Postgrad","Married",50616,71,2,0,0,0,0,0,0,68,67,7,0,0,1
"Graduate","Single",49431,9,8,0,0,0,0,0,0,63,365,15,0,0,1
"Graduate","Single",153924,81,0,0,0,0,0,0,0,43,6,0,0,0,0
"Graduate","Married",61278,87,6,0,0,0,0,0,0,65,165,10,0,0,1
"Undergraduate","Married",26490,92,6,0,0,0,0,0,0,60,210,11,0,0,0
"Postgrad","Married",73059,36,4,0,0,0,0,0,0,71,1095,26,0,0,1
"Postgrad","Single",46734,86,6,1,0,0,0,0,0,52,223,12,1,1,3
"Graduate","Married",56253,83,6,0,0,0,0,0,0,55,597,22,0,0,1
"Graduate","Married",19986,74,7,0,0,0,0,0,0,33,22,4,0,0,1
"Graduate","Single",58330,87,4,0,0,0,0,0,0,43,1064,24,0,0,1
"Undergraduate","Married",25965,29,8,0,0,0,0,0,0,38,74,6,0,0,0
"Postgrad","Married",14661,88,6,0,0,0,0,0,0,62,26,5,0,0,0
"Graduate","Married",18690,77,8,0,0,0,0,0,0,59,60,5,0,0,0
"Postgrad","Married",45068,25,7,0,0,0,0,0,0,44,20,4,0,0,1
"Undergraduate","Single",21063,34,6,0,0,0,0,0,0,31,59,7,0,0,1
"Postgrad","Married",29187,43,8,0,0,0,0,0,0,50,34,5,0,0,1
"Undergraduate","Married",54690,76,3,0,0,0,0,0,0,47,198,12,0,0,2
"Postgrad","Married",59304,81,5,0,0,0,0,0,0,54,1048,28,0,0,1
"Postgrad","Single",59247,87,6,0,0,0,0,0,0,56,574,21,0,0,2
"Graduate","Single",66731,33,3,0,0,0,0,0,0,48,1029,17,0,0,1
"Graduate","Married",77353,38,4,0,0,0,0,0,0,38,670,20,0,0,1
"Postgrad","Single",52614,63,8,0,0,0,0,0,0,43,990,16,0,0,1
"Graduate","Married",26751,26,8,0,0,0,0,0,0,44,11,4,0,0,2
"Postgrad","Married",81300,17,5,0,0,0,1,0,1,55,1241,21,2,1,1
"Graduate","Single",70337,75,1,0,0,0,0,0,0,39,576,17,0,0,0
"Undergraduate","Married",36145,13,9,1,0,0,0,0,1,33,172,12,2,1,1
"Postgrad","Single",65295,19,2,0,0,0,0,0,0,38,664,20,0,0,0
"Graduate","Single",68118,51,6,0,0,0,0,0,0,55,928,23,0,0,1
"Graduate","Single",68743,81,7,0,0,0,0,0,0,51,2074,30,0,0,0
"Undergraduate","Married",41039,32,8,0,0,0,0,0,0,36,467,15,0,0,0
"Graduate","Married",38946,84,5,0,0,0,0,0,0,63,257,12,0,0,1
"Graduate","Married",65777,87,1,0,0,0,0,0,0,51,1146,17,0,0,0
"Postgrad","Single",66476,99,4,0,0,0,0,0,0,42,689,20,0,0,1
"Postgrad","Single",86857,96,2,0,0,0,0,0,1,46,2114,22,1,1,0
"Postgrad","Married",160803,21,0,0,0,0,0,0,0,36,1717,44,0,0,0
"Postgrad","Married",77845,40,1,0,0,1,1,0,0,29,1346,21,2,1,0
"Postgrad","Married",69476,3,2,0,0,0,0,0,0,49,1044,15,0,0,0
"Postgrad","Single",50611,98,6,0,1,0,0,0,1,58,493,22,2,1,1
